,name,supersector,country,link
262,HEXPOL 'B',Basic Resources,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=SE10MT
263,HIKMA PHARMACEUTICALS,Health Care,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=B0LCW0
264,HISCOX,Insurance,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=GB30B5
265,Holcim,Construction and Materials,CH,https://www.stoxx.com/web/stoxxcom/component-details?key=442048
266,HOLMEN B,Basic Resources,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=459784
267,HOMESERVE,Insurance,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=343211
268,HOWDEN JOINERY GRP,Retail,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=055768
269,HSBC,Banks,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=040054
270,HUGO BOSS,Consumer Products and Services,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=572670
271,HUHTAMAKI,Industrial Goods and Services,FI,https://www.stoxx.com/web/stoxxcom/component-details?key=444747
272,HUSQVARNA B,Consumer Products and Services,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=B12PJ2
273,IAG,Travel and Leisure,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=012905
274,IBERDROLA,Utilities,ES,https://www.stoxx.com/web/stoxxcom/component-details?key=442464
275,IG GRP HLDG,Financial Services,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=B06QFB
276,IMCD,Chemicals,NL,https://www.stoxx.com/web/stoxxcom/component-details?key=NL402E
277,IMI,Industrial Goods and Services,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=045796
278,IMPERIAL BRANDS,"Food, Beverage and Tobacco ",GB,https://www.stoxx.com/web/stoxxcom/component-details?key=045449
279,INCHCAPE,Industrial Goods and Services,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=046025
280,Industria de Diseno Textil SA,Retail,ES,https://www.stoxx.com/web/stoxxcom/component-details?key=711131
281,INDUSTRIVARDEN A,Financial Services,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=546344
282,INDUTRADE,Industrial Goods and Services,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=B0LDBX
283,INFINEON TECHNOLOGIES,Technology,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=588950
284,INFORMA,Media,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=026256
285,ING GRP,Banks,NL,https://www.stoxx.com/web/stoxxcom/component-details?key=448816
286,INMOBILIARIA COLONIAL SOCIMI,Real Estate,ES,https://www.stoxx.com/web/stoxxcom/component-details?key=ES604G
287,INTERCONTINENTAL HOTELS GRP,Travel and Leisure,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=008320
288,INTERMEDIATE CAPITAL GRP,Financial Services,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=045644
289,INTERPUMP GRP,Industrial Goods and Services,IT,https://www.stoxx.com/web/stoxxcom/component-details?key=IT102E
290,INTERROLL,Industrial Goods and Services,CH,https://www.stoxx.com/web/stoxxcom/component-details?key=CH9035
291,INTERTEK GRP,Industrial Goods and Services,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=316383
292,INTESA SANPAOLO,Banks,IT,https://www.stoxx.com/web/stoxxcom/component-details?key=407683
293,INVESTEC,Banks,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=317731
294,INVESTOR B,Financial Services,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=446963
295,INWIT,Telecommunications,IT,https://www.stoxx.com/web/stoxxcom/component-details?key=IT506M
296,IPSEN,Health Care,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=B0R7JF
297,ISS AS,Industrial Goods and Services,DK,https://www.stoxx.com/web/stoxxcom/component-details?key=DK4012
298,ITALGAS,Utilities,IT,https://www.stoxx.com/web/stoxxcom/component-details?key=IT607O
299,ITV,Media,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=038112
300,IWG PLC,Industrial Goods and Services,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=097474
301,JD SPORTS FASHION,Retail,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=GB60TQ
302,JDE PEET S,"Food, Beverage and Tobacco ",NL,https://www.stoxx.com/web/stoxxcom/component-details?key=NL002A
303,JERONIMO MARTINS,"Personal Care, Drug and Grocery Stores ",PT,https://www.stoxx.com/web/stoxxcom/component-details?key=447723
304,JOHNSON MATTHEY,Chemicals,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=047640
305,JULIUS BAER GRP,Financial Services,CH,https://www.stoxx.com/web/stoxxcom/component-details?key=EY030
306,JUST EAT TAKEAWAY.COM NV,Technology,NL,https://www.stoxx.com/web/stoxxcom/component-details?key=NL606K
307,K + S,Chemicals,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=576162
308,KBC GRP,Banks,BE,https://www.stoxx.com/web/stoxxcom/component-details?key=449774
309,Kering,Consumer Products and Services,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=470384
310,KERRY GRP,"Food, Beverage and Tobacco ",IE,https://www.stoxx.com/web/stoxxcom/component-details?key=049065
311,KESKO,"Personal Care, Drug and Grocery Stores ",FI,https://www.stoxx.com/web/stoxxcom/component-details?key=449000
312,KGHM,Basic Resources,PL,https://www.stoxx.com/web/stoxxcom/component-details?key=526325
313,KINDRED GROUP,Travel and Leisure,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=SE10JQ
314,KINGFISHER,Retail,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=098111
315,KINGSPAN GRP,Construction and Materials,IE,https://www.stoxx.com/web/stoxxcom/component-details?key=449123
316,KINNEVIK B,Financial Services,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=B00GC1
317,KION GROUP,Industrial Goods and Services,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=DE3060
318,KLEPIERRE,Real Estate,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=556582
319,KNORR BREMSE,Industrial Goods and Services,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=DE80DC
320,KOJAMO OYJ,Real Estate,FI,https://www.stoxx.com/web/stoxxcom/component-details?key=FI8038
321,KONE B,Industrial Goods and Services,FI,https://www.stoxx.com/web/stoxxcom/component-details?key=449667
322,KONGSBERG GRUPPEN,Industrial Goods and Services,NO,https://www.stoxx.com/web/stoxxcom/component-details?key=520824
323,KONINKLIJKE DSM,"Food, Beverage and Tobacco ",NL,https://www.stoxx.com/web/stoxxcom/component-details?key=424910
324,KPN,Telecommunications,NL,https://www.stoxx.com/web/stoxxcom/component-details?key=453456
325,KUEHNE + NAGEL,Industrial Goods and Services,CH,https://www.stoxx.com/web/stoxxcom/component-details?key=715674
326,L'OREAL,Consumer Products and Services,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=453478
327,LA FRANCAISE DES JEUX,Travel and Leisure,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=FR90GV
328,LAND SECURITIES,Real Estate,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=050450
329,LANXESS,Chemicals,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=B05M8B
330,LATOUR INVESTMENT B,Financial Services,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=SE10IP
331,LEG IMMOBILIEN,Real Estate,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=DE301V
332,LEGAL & GENERAL GRP,Insurance,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=051152
333,LEGRAND,Industrial Goods and Services,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=B11ZRK
334,LEONARDO,Industrial Goods and Services,IT,https://www.stoxx.com/web/stoxxcom/component-details?key=437915
335,LIFCO B,Industrial Goods and Services,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=SE40AK
336,LINDE,Chemicals,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=DE70FD
337,LINDT & SPRUENGLI REG,"Food, Beverage and Tobacco ",CH,https://www.stoxx.com/web/stoxxcom/component-details?key=596230
338,LLOYDS BANKING GRP,Banks,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=087061
339,LOGITECH INTERNATIONAL,Technology,CH,https://www.stoxx.com/web/stoxxcom/component-details?key=772868
340,LONDON STOCK EXCHANGE,Financial Services,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=095298
341,LONDONMETRIC PROPERTY PLC,Real Estate,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=GB2092
342,LONZA,Health Care,CH,https://www.stoxx.com/web/stoxxcom/component-details?key=579422
343,LPP,Consumer Products and Services,PL,https://www.stoxx.com/web/stoxxcom/component-details?key=712797
344,LUFTHANSA,Travel and Leisure,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=453770
345,LUNDBERGFORETAGEN B,Financial Services,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=453800
346,LUNDIN ENERGY,Energy,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=718762
347,LVMH MOET HENNESSY,Consumer Products and Services,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=454005
348,M&G,Financial Services,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=GB90MM
349,MAN GRP,Financial Services,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=029440
350,MARKS & SPENCER GRP,Retail,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=056540
351,MEDIOBANCA,Financial Services,IT,https://www.stoxx.com/web/stoxxcom/component-details?key=457481
352,MEGGITT,Industrial Goods and Services,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=910509
353,MELROSE INDUSTRIES,Industrial Goods and Services,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=GB10C4
354,MERCEDES-BENZ GROUP,Automobiles and Parts,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=425240
355,MERCK,Health Care,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=474184
356,MERLIN PROPERTIES SOCIMI,Real Estate,ES,https://www.stoxx.com/web/stoxxcom/component-details?key=ES403D
357,METSO OUTOTEC,Industrial Goods and Services,FI,https://www.stoxx.com/web/stoxxcom/component-details?key=B1FN8X
358,MICHELIN,Automobiles and Parts,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=458836
359,MILLICOM INTL.CELU. SDR,Telecommunications,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=SE10V2
360,MIPS,Consumer Products and Services,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=SE90JY
361,MONCLER,Consumer Products and Services,IT,https://www.stoxx.com/web/stoxxcom/component-details?key=IT402H
362,MONDI,Industrial Goods and Services,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=B1CRLC
363,MOWI,"Food, Beverage and Tobacco ",NO,https://www.stoxx.com/web/stoxxcom/component-details?key=B02L48
364,MTU AERO ENGINES,Industrial Goods and Services,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=B09DHL
365,MUENCHENER RUECK,Insurance,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=461075
366,NATIONAL GRID,Utilities,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=024282
367,Naturgy Energy Group,Utilities,ES,https://www.stoxx.com/web/stoxxcom/component-details?key=417986
368,NATWEST GROUP,Banks,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=075478
369,NEMETSCHEK,Technology,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=DE8054
370,NESTE,Energy,FI,https://www.stoxx.com/web/stoxxcom/component-details?key=XXXXX3
371,NESTLE,"Food, Beverage and Tobacco ",CH,https://www.stoxx.com/web/stoxxcom/component-details?key=461669
372,NETCOMPANY GROUP AS,Technology,DK,https://www.stoxx.com/web/stoxxcom/component-details?key=DK8016
373,NEXI SPA,Industrial Goods and Services,IT,https://www.stoxx.com/web/stoxxcom/component-details?key=IT90BV
374,NEXT,Retail,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=042186
375,NIBE INDUSTRIER B,Construction and Materials,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=SE103A
376,NN GROUP,Insurance,NL,https://www.stoxx.com/web/stoxxcom/component-details?key=NL403F
377,NOKIA,Telecommunications,FI,https://www.stoxx.com/web/stoxxcom/component-details?key=463841
378,NOKIAN RENKAAT,Automobiles and Parts,FI,https://www.stoxx.com/web/stoxxcom/component-details?key=464327
379,NORDEA BANK,Banks,FI,https://www.stoxx.com/web/stoxxcom/component-details?key=478184
380,NORDIC ENTERTAINMENT GROUP B,Media,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=SE90O3
381,NORDIC SEMICONDUCTOR,Technology,NO,https://www.stoxx.com/web/stoxxcom/component-details?key=NO108K
382,NORSK HYDRO,Basic Resources,NO,https://www.stoxx.com/web/stoxxcom/component-details?key=464580
383,NOVARTIS,Health Care,CH,https://www.stoxx.com/web/stoxxcom/component-details?key=477408
384,NOVO NORDISK B,Health Care,DK,https://www.stoxx.com/web/stoxxcom/component-details?key=465191
385,NOVOZYMES,Health Care,DK,https://www.stoxx.com/web/stoxxcom/component-details?key=465853
386,OCADO,"Personal Care, Drug and Grocery Stores ",GB,https://www.stoxx.com/web/stoxxcom/component-details?key=GB001S
387,OMV,Energy,AT,https://www.stoxx.com/web/stoxxcom/component-details?key=465145
388,ORANGE,Telecommunications,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=517617
389,ORION B,Health Care,FI,https://www.stoxx.com/web/stoxxcom/component-details?key=462220
390,ORKLA,"Food, Beverage and Tobacco ",NO,https://www.stoxx.com/web/stoxxcom/component-details?key=465768
391,ORPEA,Health Care,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=733945
392,ORSTED,Utilities,DK,https://www.stoxx.com/web/stoxxcom/component-details?key=DK6036
393,OSB GROUP,Financial Services,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=GB40D8
394,OXFORD NANOPORE TECHNOLOGIES,Health Care,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=GB1FFM
395,PANDORA,Consumer Products and Services,DK,https://www.stoxx.com/web/stoxxcom/component-details?key=DK001Y
396,PARTNERS GRP HLDG,Financial Services,CH,https://www.stoxx.com/web/stoxxcom/component-details?key=B119QG
397,PEARSON,Media,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=067760
398,PEKAO,Banks,PL,https://www.stoxx.com/web/stoxxcom/component-details?key=547311
399,PENNON GRP,Utilities,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=082699
400,PERNOD RICARD,"Food, Beverage and Tobacco ",FR,https://www.stoxx.com/web/stoxxcom/component-details?key=468232
401,PERSIMMON,Consumer Products and Services,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=068253
402,PHILIPS,Health Care,NL,https://www.stoxx.com/web/stoxxcom/component-details?key=468520
403,PHOENIX GROUP HDG.,Insurance,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=GB30E8
404,PKNORLEN,Energy,PL,https://www.stoxx.com/web/stoxxcom/component-details?key=581006
405,PKO BANK,Banks,PL,https://www.stoxx.com/web/stoxxcom/component-details?key=B03NGS
406,PORSCHE PREF,Automobiles and Parts,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=469678
407,POSTE ITALIANE,Insurance,IT,https://www.stoxx.com/web/stoxxcom/component-details?key=IT602J
408,PRIMARY HEALTH PROPS.,Real Estate,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=GB90BB
409,PROSIEBENSAT.1 MEDIA,Media,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=525288
410,Prosus,Technology,NL,https://www.stoxx.com/web/stoxxcom/component-details?key=NL901I
411,PROXIMUS,Telecommunications,BE,https://www.stoxx.com/web/stoxxcom/component-details?key=B00D9P
412,PRUDENTIAL,Insurance,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=070995
413,PRYSMIAN,Industrial Goods and Services,IT,https://www.stoxx.com/web/stoxxcom/component-details?key=B1W4V6
414,PSP SWISS PROPERTY,Real Estate,CH,https://www.stoxx.com/web/stoxxcom/component-details?key=591264
415,PUBLICIS GRP,Media,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=470774
416,PUMA,Consumer Products and Services,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=506472
417,PZU GROUP,Insurance,PL,https://www.stoxx.com/web/stoxxcom/component-details?key=PL001B
418,QIAGEN,Health Care,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=573282
419,QT GROUP,Technology,FI,https://www.stoxx.com/web/stoxxcom/component-details?key=FI908E
420,QUILTER,Financial Services,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=GB80DC
421,RAIFFEISEN BANK INTERNATIONAL,Banks,AT,https://www.stoxx.com/web/stoxxcom/component-details?key=B0704T
422,RANDSTAD,Industrial Goods and Services,NL,https://www.stoxx.com/web/stoxxcom/component-details?key=472370
423,RATIONAL,Industrial Goods and Services,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=DE1080
424,RECKITT BENCKISER GRP,"Personal Care, Drug and Grocery Stores ",GB,https://www.stoxx.com/web/stoxxcom/component-details?key=072769
425,RECORDATI,Health Care,IT,https://www.stoxx.com/web/stoxxcom/component-details?key=705339
426,RED ELECTRICA CORPORATION,Utilities,ES,https://www.stoxx.com/web/stoxxcom/component-details?key=672716
427,RELX PLC,Media,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=073087
428,REMY COINTREAU,"Food, Beverage and Tobacco ",FR,https://www.stoxx.com/web/stoxxcom/component-details?key=307428
429,RENAULT,Automobiles and Parts,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=471279
430,RENTOKIL INITIAL,Industrial Goods and Services,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=073303
431,REPLY,Technology,IT,https://www.stoxx.com/web/stoxxcom/component-details?key=IT703L
432,REPSOL,Energy,ES,https://www.stoxx.com/web/stoxxcom/component-details?key=473322
433,REXEL,Industrial Goods and Services,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=B1VP0K
434,RHEINMETALL,Industrial Goods and Services,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=533458
435,RIGHTMOVE GRP,Real Estate,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=B0MFTM
436,RINGKJOBING LANDBOBANK,Banks,DK,https://www.stoxx.com/web/stoxxcom/component-details?key=DK101Z
437,RIO TINTO,Basic Resources,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=071887
438,ROCHE HLDG P,Health Care,CH,https://www.stoxx.com/web/stoxxcom/component-details?key=474577
439,ROCKWOOL B,Construction and Materials,DK,https://www.stoxx.com/web/stoxxcom/component-details?key=471349
440,ROLLS ROYCE HLDG,Industrial Goods and Services,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=074776
441,ROTORK,Industrial Goods and Services,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=075069
442,ROYAL MAIL,Industrial Goods and Services,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=GB403Y
443,ROYAL UNIBREW,"Food, Beverage and Tobacco ",DK,https://www.stoxx.com/web/stoxxcom/component-details?key=DK1020
444,RUBIS,Retail,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=471310
445,RWE,Utilities,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=473550
446,RYANAIR,Travel and Leisure,IE,https://www.stoxx.com/web/stoxxcom/component-details?key=011517
447,S4 CAP. ORD SHS,Media,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=GB008Z
448,SAFESTORE HOLDINGS,Real Estate,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=B1N7Z0
449,SAFRAN,Industrial Goods and Services,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=476776
450,SAGAX 'B',Real Estate,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=SE50KV
451,SAGE GRP,Technology,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=080216
452,SAINSBURY (J),"Personal Care, Drug and Grocery Stores ",GB,https://www.stoxx.com/web/stoxxcom/component-details?key=076764
453,SAINT GOBAIN,Construction and Materials,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=476837
454,SALMAR,"Food, Beverage and Tobacco ",NO,https://www.stoxx.com/web/stoxxcom/component-details?key=NO10CO
455,SAMHALLSBYGGNADSBOL AGET NORD,Real Estate,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=SE90T8
456,SAMPO,Insurance,FI,https://www.stoxx.com/web/stoxxcom/component-details?key=477319
457,SANDVIK,Industrial Goods and Services,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=477472
458,SANOFI,Health Care,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=477518
459,SAP,Technology,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=476361
460,SARTORIUS PREF.,Health Care,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=DE5084
461,SARTORIUS STEDIM BIOTECH,Health Care,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=FR705I
462,SCHIBSTED GRUPPEN,Technology,NO,https://www.stoxx.com/web/stoxxcom/component-details?key=478362
463,SCHINDLER P,Industrial Goods and Services,CH,https://www.stoxx.com/web/stoxxcom/component-details?key=733750
464,SCHNEIDER ELECTRIC,Industrial Goods and Services,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=483410
465,SCHRODERS,Financial Services,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=077940
466,SCOR,Insurance,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=479736
467,SCOTTISH & SOUTHERN ENERGY,Utilities,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=079087
468,SCOUT24,Technology,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=DE50B7
469,SEB,Consumer Products and Services,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=479213
470,SECTRA 'B',Health Care,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=SE80CQ
471,SECURITAS B,Industrial Goods and Services,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=478396
472,SEGRO,Real Estate,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=081410
473,SES,Telecommunications,LU,https://www.stoxx.com/web/stoxxcom/component-details?key=B00ZQQ
474,SEVERN TRENT,Utilities,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=079851
475,SGS,Industrial Goods and Services,CH,https://www.stoxx.com/web/stoxxcom/component-details?key=482476
476,SHELL,Energy,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=B09CBL
477,SIEGFRIED 'R',Health Care,CH,https://www.stoxx.com/web/stoxxcom/component-details?key=CH8078
478,SIEMENS,Industrial Goods and Services,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=480710
479,SIEMENS ENERGY,Energy,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=DE004V
480,SIEMENS GAMESA,Energy,ES,https://www.stoxx.com/web/stoxxcom/component-details?key=462338
481,SIEMENS HEALTHINEERS,Health Care,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=DE8087
482,SIG COMBIBLOC GROUP AG,Industrial Goods and Services,CH,https://www.stoxx.com/web/stoxxcom/component-details?key=CH809A
483,SIGNIFY,Construction and Materials,NL,https://www.stoxx.com/web/stoxxcom/component-details?key=NL603H
484,SIKA,Construction and Materials,CH,https://www.stoxx.com/web/stoxxcom/component-details?key=480808
485,SIMCORP,Technology,DK,https://www.stoxx.com/web/stoxxcom/component-details?key=DK10B9
486,SINCH,Technology,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=SE50IT
487,SKANDINAVISKA ENSKILDA BK A,Banks,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=481334
488,SKANSKA B,Construction and Materials,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=481343
489,SKF B,Basic Resources,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=476706
490,SMITH & NEPHEW,Health Care,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=081660
491,SMITHS GRP,Industrial Goods and Services,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=081827
492,SMURFIT KAPPA GRP,Industrial Goods and Services,IE,https://www.stoxx.com/web/stoxxcom/component-details?key=B1RR84
493,SNAM RETE GAS,Energy,IT,https://www.stoxx.com/web/stoxxcom/component-details?key=725147
494,SODEXO,Travel and Leisure,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=481830
495,SOFINA,Financial Services,BE,https://www.stoxx.com/web/stoxxcom/component-details?key=482030
496,SOFTCAT,Technology,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=GB50VR
497,SOITEC,Technology,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=FR90ET
498,SOLVAY,Chemicals,BE,https://www.stoxx.com/web/stoxxcom/component-details?key=482110
499,SONOVA,Health Care,CH,https://www.stoxx.com/web/stoxxcom/component-details?key=143406
500,SOPRA STERIA GROUP,Technology,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=FR702F
501,SPECTRIS,Industrial Goods and Services,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=033086
502,SPIE,Construction and Materials,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=FR504F
503,SPIRAX-SARCO,Industrial Goods and Services,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=083470
504,SSAB B,Basic Resources,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=B17H3F
505,ST.JAMES'S PLACE CAPITAL,Financial Services,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=882217
506,STANDARD CHARTERED,Banks,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=083860
507,STELLANTIS,Automobiles and Parts,IT,https://www.stoxx.com/web/stoxxcom/component-details?key=433560
508,STMICROELECTRONICS,Technology,IT,https://www.stoxx.com/web/stoxxcom/component-details?key=477670
509,STORA ENSO R,Basic Resources,FI,https://www.stoxx.com/web/stoxxcom/component-details?key=507267
510,STOREBRAND,Insurance,NO,https://www.stoxx.com/web/stoxxcom/component-details?key=485283
511,STORSKOGEN GROUP B,Financial Services,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=SE15MY
512,STRAUMANN,Health Care,CH,https://www.stoxx.com/web/stoxxcom/component-details?key=546435
513,SVENSKA CELLULOSA B,Basic Resources,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=486537
514,SVENSKA HANDELSBANKEN A,Banks,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=486863
515,SWATCH BEARER,Consumer Products and Services,CH,https://www.stoxx.com/web/stoxxcom/component-details?key=476240
516,SWECO 'B',Construction and Materials,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=SE401B
517,SWEDBANK,Banks,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=484652
518,SWEDISH MATCH,"Food, Beverage and Tobacco ",SE,https://www.stoxx.com/web/stoxxcom/component-details?key=504856
519,SWEDISH ORPHAN BIOVITRUM,Health Care,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=SE1018
520,SWISS LIFE HLDG,Insurance,CH,https://www.stoxx.com/web/stoxxcom/component-details?key=528586
521,SWISS PRIME SITE,Real Estate,CH,https://www.stoxx.com/web/stoxxcom/component-details?key=594176
522,SWISS REINSURANCE COMPANY,Insurance,CH,https://www.stoxx.com/web/stoxxcom/component-details?key=478165
523,SWISSCOM,Telecommunications,CH,https://www.stoxx.com/web/stoxxcom/component-details?key=553397
524,SYMRISE,Chemicals,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=B1JB4K
525,TAG IMMOBILIEN AG,Real Estate,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=DE2070
526,TATE & LYLE,"Food, Beverage and Tobacco ",GB,https://www.stoxx.com/web/stoxxcom/component-details?key=087541
527,TAYLOR WIMPEY,Consumer Products and Services,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=087823
