,job_location,main_rating,Work/Life Balance,Culture & Values,Diversity & Inclusion,Career Opportunities,Compensation and Benefits,Senior Management,Business Outlook,CEO Approval,Recommend,cons,post_title,pros,status,Work/Life Balance_rolling_10mean,Culture & Values_rolling_10mean,Diversity & Inclusion_rolling_10mean,Career Opportunities_rolling_10mean,Compensation and Benefits_rolling_10mean,Senior Management_rolling_10mean,country,company
2016-07-25,Summer Student in Brussels,4.0,,,,,,,O,O,V,Salary not that great (€1510),Summer Student Deloitte IT,"Nice setting for a student
Nice colleagues","Current Employee, less than 1 year",2.375,3.25,,3.375,3.0,3.375,belgian,deloitte
2016-08-01,Anonymous Employee in Diegem,3.0,3.0,3.0,,3.0,2.0,2.0,V,-,V,"Turnover is high, work not always meaningful",Formative though not always meaningful work,Large company with multiple opportunities if you make the effort of seeking the right people to work with,"Former Employee, more than 3 years",2.375,3.0,,3.125,2.75,3.25,belgian,deloitte
2016-08-10,Senior Consultant in Brussels,4.0,4.0,4.0,,4.0,5.0,4.0,O,O,O,Not much choice which project you work on.,Deloitte Digital,Start-up within Deloitte. Nice atmosphere. Good benefits.,"Current Employee, more than 1 year",2.625,3.375,,3.25,2.875,3.25,belgian,deloitte
2016-09-16,Senior Consultant in Brussels,4.0,4.0,4.0,,4.0,3.0,4.0,V,O,V,"- Salary in the beggining
- labelled as Big 4 for the consulting part
- Strategy consultancy still in development",Good experience,"- projects in teams
- enterprise culture
- recognition
- internal opportunities
- International opportunities",Current Employee,3.0,3.75,,3.625,3.125,3.625,belgian,deloitte
2016-10-24,Tax Consultant in Antwerp,3.0,4.0,3.0,,4.0,2.0,3.0,O,O,V,"Salary, competitive environment, colleagues, opportunities",Tax Consultant,Work life balance and hours,"Current Employee, more than 3 years",3.0,3.625,,3.625,2.875,3.5,belgian,deloitte
2016-11-03,Anonymous Employee in Brussels,4.0,3.0,3.0,,4.0,3.0,3.0,V,O,V,"It's an environment where you work hard, so definetely not a 9 to 5 environment, however you have sufficient flexibility to make things work.",Opportunities at Deloitte Consulting,"Deloitte provides an environment where you can grow fast, and learn a lot with many training opportunities. It's a very dynamic and challenging environment, with a strong team spirit.","Current Employee, more than 10 years",3.0,3.5555555555555554,,3.6666666666666665,2.888888888888889,3.4444444444444446,belgian,deloitte
2017-01-02, in Brussels,3.0,3.0,3.0,,3.0,2.0,3.0,V,O,V,"Projects could become repetitive. As an international employee, support for integration is not very big and you have constantly work in Dutch, French and English.",What matters is your team,"I have the pleasure to work in a very well knit team. From manager level to partner level, seniors are always open and there is a smooth egalitarian atmosphere.",Current Employee,3.111111111111111,3.4444444444444446,,3.5555555555555554,2.6666666666666665,3.4444444444444446,belgian,deloitte
2017-01-10,Consultant in Brussels,5.0,3.0,4.0,,5.0,4.0,4.0,V,O,V,I can't think of any.,Nice company,"- Training
- open culture
- wage
- flexibility",Current Employee,3.111111111111111,3.4444444444444446,,3.7777777777777777,2.7777777777777777,3.3333333333333335,belgian,deloitte
2017-01-10,Anonymous Employee in Brussels,5.0,2.0,5.0,,5.0,4.0,3.0,-,O,V,"- Working hours
- Heavy evaluation/year-end process",Best place for a first job,"- Relations with colleagues
- Mentoring & training
- Growing your network and professional skills to face any future job in any position","Former Employee, more than 5 years",3.111111111111111,3.4444444444444446,,3.7777777777777777,2.888888888888889,3.2222222222222223,belgian,deloitte
2017-01-13,Senior Manager in Diegem,4.0,3.0,3.0,,4.0,2.0,4.0,V,-,V,"- Compensation & Benefits
- Work-life balance from time to time challenging",Happy camper,"- Great learning opportunities
- A lot variation
- Room for enterpreneurship","Current Employee, more than 8 years",3.2222222222222223,3.5555555555555554,,4.0,3.0,3.3333333333333335,belgian,deloitte
2017-01-23,Consulting Manager in Brussels,4.0,2.0,3.0,,3.0,4.0,3.0,-,-,V,"- Management by fear 
- Your experience vary a lot depending on your manager / project
- Stresful environment
- A lot (I really mean a lot) of internal politics around staffing, promotion, etc",Work hard and eventually play hard,"- Deep learning curve
- Smart and motivated people around
- Exposure to various industries 
- Learning opportunities
- Tools and methodologies available","Former Employee, more than 5 years",3.1,3.5,,3.9,3.1,3.3,belgian,deloitte
2017-03-05,"Business Analyst, Consulting in Brussels",3.0,2.0,2.0,,4.0,4.0,2.0,O,O,V,"Managers care only about the results (target oriented)
Long hours (many times no work an lief balance, leave work after 8 or 9 is really common, also work during the weekends, sometimes)
The salary at a junior level is mediocre compared to pharma industry
Constantly under pressure
Some projects could be boring or tedious but you could work a long period on this since it bring revenues
Several projects have to do with quantity and not quality work",Business analyst life sciences consluting,"Learning opportunities
Variety of projects
international clients
learn to deliver quality work at  a short time
learn to deal with tight deadlines and stressful situations",Current Employee,3.0,3.4,,4.0,3.3,3.3,belgian,deloitte
2017-03-31,Senior Consultant in Brussels,3.0,3.0,4.0,,3.0,1.0,4.0,-,O,V,"- A very low pay as opposed to competition (non-big4)
- Company structure is too heavy, there is too little flexibility left for creativity (even though this is promoted constantly)",Senior Consultant,"- A good, fairly steep learning curve
- A solid company culture
- There was lots of flexibility on timing and workplace, a big plus",Former Employee,2.9,3.4,,3.9,2.9,3.3,belgian,deloitte
2017-05-10,Business Analyst in Zaventem,4.0,4.0,3.0,,4.0,4.0,3.0,V,-,V,"Big open Deloitte office
Dependent on other departments",Deloitte Digital - Business Analyst,"Smaller team
Young team
Multi functional team","Current Employee, less than 1 year",2.9,3.3,,3.9,3.0,3.2,belgian,deloitte
2017-07-13,Audit Assistant in Brussels,3.0,2.0,2.0,,3.0,3.0,3.0,O,O,O,"Strict structure, no freedom of tasks, almost no autonomy",Auditor Assistant,"Young team, good salary, team building activities",Former Employee,2.7,3.2,,3.8,3.1,3.2,belgian,deloitte
2017-10-02,Senior Consultant in Zaventem,3.0,1.0,4.0,,4.0,5.0,4.0,V,V,V,".. these are all cosy prisons, I ended up working 55-60 h a week and had enough.","Good employer, but destructive ""unwritten"" working hours.","A lot of fun actives, nice brand, great office with fitness..","Current Employee, more than 1 year",2.5,3.3,,3.8,3.3,3.3,belgian,deloitte
2017-10-11,Manager in Brussels,4.0,4.0,5.0,,5.0,3.0,5.0,V,V,V,salary below market but good benefits,Tax manager,"Good ambiance, international company, progressive career, possibility to have an impact on the files","Current Employee, more than 5 years",2.6,3.5,,4.0,3.4,3.5,belgian,deloitte
2017-11-24,Manager in Zaventem,4.0,1.0,3.0,,3.0,2.0,3.0,O,O,O,"- work life balance can be difficult, especially when you have children since many team meetings etc happen after working hours to not interfere with the client work
- no attention is paid to home location vs. client location, e.g. you might be required to travel to a client for a year that means 3-5hour commute a day
- high expectations and workload, you are expected to take on many responsibilities next to the client work, even if you are working on clients 100% or more of your time
- salary is below market because you get many opportunities to learn and grow, but as of a certain level, you are assumed to teach and help grow the junior/senior consultants, even though salary remains under the market",Manager,"- learning opportunities, trainings internal and external, certifications
- flexibility to work on several projects, different departments, different companies and sectors","Current Employee, more than 5 years",2.4,3.4,,3.8,3.2,3.4,belgian,deloitte
2017-12-09,Anonymous Employee in Zaventem,1.0,1.0,2.0,,1.0,1.0,1.0,X,X,X,"It will be almost 1 year in Deloitte Digital - Belgium. Before joining Deloitte-Belgium, 7years i was working as  developer/Team lead for a specific technology. During the several rounds of interview, Deloitte told me there are innovation development going on and bla bla bla.. But after joining i realized there is NO project on that technology which i have learned and experienced for last 7 years. And they sold me to a client by telling that I’m an expert of another technology which client was demanding . Management pressurized  me to learn that new technology within few weeks. There was no training & guidance what so ever.  Like this they asked me to work on 6 different technologies in 9 months. Then i realized its the time to save my career rather than to stay for the shake of the brand ""DELOITTE”. 
I have seen people leaving because they were hired for digital marketing and asked to work as project manager.  So if you really want to spoil your career then it might be one of the best place.",worst company - your career may spoil here,Cant think of anything except few good people.,"Former Employee, less than 1 year",2.3,3.1,,3.4,2.9,3.2,belgian,deloitte
2017-12-21,Senior Associate in Brussels,4.0,2.0,3.0,,5.0,4.0,3.0,V,V,V,"forget your life, your friends and your family, this is only corporate life.",sencerely,"Learning and developing skills, challenging environment, networking.","Current Employee, less than 1 year",2.2,3.1,,3.5,3.1,3.1,belgian,deloitte
2018-01-25,Senior Consultant in Zaventem,1.0,1.0,1.0,,4.0,1.0,1.0,-,-,X,"- Work 70-80 hours a week and receive no recognition or gratitude in return
- Expect to give up social life, sometimes weekends and all your hobbies for work
- They sell your total ""package"" of remunerations as market competitive, but you receive very low pay considering the hours you are expected to work
- Absolutely horrible atmosphere at the HQ. Feels like a grave yard where people are afraid of engaging in conversations (or maybe it's just a Belgian thing)
- Leadership only cares about staffing consultants to hit their targets. They squeeze and bleed BAs/Cs/SCs as much as they possible can
- Office politics decide whether you get promoted, receive bonus, etc. Licking the rights boots will get you far.
- Senior managers are all overworked and look miserable 24/7",A few good (wo)men,"- Brand name
- Good learning curve
- Nice colleagues (those at same level)
- Variety of trainings","Former Employee, more than 1 year",2.1,2.9,,3.6,2.8,2.9,belgian,deloitte
2018-02-15,Senior Consultant in Brussels,3.0,2.0,3.0,,4.0,3.0,3.0,O,V,V,- junior people handling senior projects,Senior Consultant,"+ the diversity, career prospects and internal training offer","Former Employee, more than 1 year",2.1,3.0,,3.6,2.7,3.0,belgian,deloitte
2018-05-27,Senior Manager in Brussels,4.0,2.0,4.0,,4.0,4.0,4.0,V,V,V,Politics inside the company difficult the progress. Standardisation for a single Deloitte.,Great methodology,Great methodology betting on sales critical aspects of a project delivery,Current Employee,2.0,3.0,,3.7,3.0,3.0,belgian,deloitte
2018-06-14,IT Business Analyst in Brussels,2.0,1.0,3.0,,3.0,2.0,3.0,-,-,X,"- Work life balance is very, very bad
- Constant pressure on your shoulders
- Promotion is not based on the quality of your work",Speak loud before you do actually something,"- Dynamic colleagues
- Interesting projects",Former Employee,1.7,3.0,,3.6,2.8,3.0,belgian,deloitte
2018-06-30,Senior Consultant in Zaventem,3.0,1.0,1.0,,3.0,2.0,3.0,V,-,V,"C
(Disclaimer: big company, so might not be representative)
-Politics, politics, politics
-Very hierarchical, job levels are very important, partner says jump, you say how high, watch out what you say
-High pressure and quite stressful, I've seen colleagues cry, negative atmosphere in general,  people complaining all the time, everything is always so serious, problematic and urgent
-open office/flex desk: nice trend but not easy to concentrate 
-Competitive 
-a job that takes over your life, you're always on call
-“interesting” e-mail culture: everything happens in writing only vs personal communication 
-you don’t get the feeling that you matter; you’re just a number 
-practical problems, simply getting to the office  is often a challenge (parking!)
-very Flemish (depends on your assignment of course), you might feel that you don't fit in if you're not
-you're supposed to take most of your vacation during (summer) school holidays and between Christmas and new year office is closed but it gets deducted from your vacation days.

I’m having a great learning experience but working in such a big Belgian(Flemish) company really isn’t for everyone.",Mixed feelings - depends on department,"-looks good on CV
-Smart, dedicated colleagues, most are very friendly
-Nice perks (fancy office, nice cars even for all juniors...)
-High-end company events
-some training/info sessions 
-Kind management 
-Big budgets

If you are ok with work taking over your life, if you're skilled at navigating through political games, if you are fine with being part of a ""tribe"", if you’re Belgian, go for it! You'll have great possibilities and interesting experiences and the name on your curriculum.","Current Employee, more than 3 years",1.6,2.9,,3.6,2.7,3.0,belgian,deloitte
2018-09-16,Junior Auditor in Brussels,2.0,,,,,,,O,O,X,"- Lack of flexibility (As a junior auditor, I couldn't arrive early and leave early in order to avoid traffic jam even if I was working in the headquarters for instance)
- High pressure during the busy season, between January and April and so poor work-life balance
- Time estimation for the audit missions is rarely accurate especially during the busy season and thus you will have to work much more for some clients
- Bad allocation of audit missions, I sometimes had to drive more than 90 kms going through the whole ring of Brussels during the busy season
- Not much appreciation given regarding the work done",Junior Auditor,"- Lots of young people  
- International environment
- Opportunities to network
- Good training","Former Employee, less than 1 year",1.6666666666666667,2.7777777777777777,,3.5555555555555554,2.4444444444444446,2.888888888888889,belgian,deloitte
2018-09-22,Junior Financial Auditor in Brussels,5.0,2.0,4.0,,5.0,3.0,4.0,V,O,V,"For some people, the overtime might be too frequent
Repetiveness of some tasks",Great first experience,"A lot of responsibilities gives
Able to learn on a daily basis
Meet interesting people
Dynamic company","Current Employee, more than 1 year",1.4444444444444444,2.6666666666666665,,3.5555555555555554,2.4444444444444446,2.7777777777777777,belgian,deloitte
2018-10-05,Anonymous Employee in Brussels,4.0,3.0,4.0,,4.0,3.0,4.0,V,-,V,"Political, some local people still have a local mindset although working in a global company, not possible to deviate from the (career) structure",A stay of one year,"Clear career structure, global company, structured and efficient culture","Former Employee, more than 1 year",1.6666666666666667,2.7777777777777777,,3.6666666666666665,2.5555555555555554,2.888888888888889,belgian,deloitte
2018-10-12, in Brussels,3.0,1.0,3.0,,5.0,3.0,2.0,O,-,O,Poor work and life balance,business analyst,There are always opportunities to learn,"Former Employee, more than 1 year",1.6666666666666667,2.888888888888889,,4.111111111111111,2.7777777777777777,3.0,belgian,deloitte
2018-11-03,Senior Consultant in Zaventem,5.0,3.0,5.0,,4.0,4.0,5.0,V,O,V,"- Career progression remains rigid and slow (though ensure a regular salary increase and steady progression)
- Situation may differ per services
- Lots of work, all departures are not replaced in due time",Great company,"- Flexibility and rather flat organisation for a big four
- Interesting projects and lots of room to gain responsibilities quickly
- Lots of training and personal development opportunity
- Management is open to constructive criticisms: many initiatives are supported linked to flexiwork, gender equality, alternative transport mobility, internal work mobility.
- Partners are open to dialogue and close to their consultants.","Current Employee, more than 1 year",1.7777777777777777,3.111111111111111,,4.0,2.7777777777777777,3.2222222222222223,belgian,deloitte
2018-11-20,Senior Consultant in Brussels,5.0,4.0,5.0,,5.0,4.0,4.0,V,O,V,"work-life balance, political environment, communiting distance",Happy employee,"Colleagues, atmosphere, team spirit, possibilities","Current Employee, more than 3 years",2.111111111111111,3.5555555555555554,,4.111111111111111,3.111111111111111,3.5555555555555554,belgian,deloitte
2018-11-23,M&A Manager in Brussels,4.0,2.0,3.0,,5.0,4.0,3.0,V,O,V,"Management skills are low (across all the level, expertise is key to promotion)
Ratio hour/salary decreasing over time. OK at the beginning but tend to lower at the end, except if you make partner",M&A Senior Manager,"Professional environment with good colleagues
Nice customer portfolio
Brand on your CV for life","Former Employee, more than 5 years",2.111111111111111,3.5555555555555554,,4.222222222222222,3.2222222222222223,3.5555555555555554,belgian,deloitte
2019-04-27,Business Analyst in Zaventem,4.0,3.0,4.0,,5.0,4.0,4.0,V,V,V,Not all projects are nice,Business analyst,"Dynamic, challenging, young environment.","Current Employee, more than 1 year",2.2222222222222223,3.5555555555555554,,4.333333333333333,3.2222222222222223,3.5555555555555554,belgian,deloitte
2019-05-06,Senior Consultant in Brussels,5.0,3.0,4.0,,5.0,3.0,4.0,V,V,V,"Work hard, play hard mentality",Great place to work,"Energise by Deloitte (sponsored sports events, free gym and sport coaches)
Great people to work with
Variety of work
Internal mobility options","Current Employee, more than 3 years",2.4444444444444446,3.6666666666666665,,4.555555555555555,3.3333333333333335,3.6666666666666665,belgian,deloitte
2019-05-19,Global Mobility in Brussels,1.0,3.0,5.0,,1.0,3.0,3.0,V,X,X,"Not really a learning curve when you accept ""Assistant/Administration Support""position. Deloitte Belgium is with hight rating but people working in GM department are really close minded. Be careful about this postion especially if you already have some experience in Global Mobility.","Be careful about ""Assistant/Administration Support"" positions","Good for your CV. Fancy building, good working conditions. Opportunity for some trainings.","Current Employee, less than 1 year",2.6666666666666665,4.111111111111111,,4.333333333333333,3.4444444444444446,3.6666666666666665,belgian,deloitte
2019-07-05,Business Analyst in Brussels,5.0,5.0,5.0,,5.0,4.0,4.0,V,-,V,Located outside the center of Brussels,Amazing place to grow,"Young, learning opportunities, network, quality of managers, atmosphere, open-minded","Current Employee, less than 1 year",2.9,4.2,,4.4,3.5,3.7,belgian,deloitte
2019-09-17,Senior in Brussels,5.0,3.0,3.0,,4.0,3.0,3.0,V,O,V,Overworking and understaffing is a forte,Good place to be,"Learning on the job, lots of experience across the globe","Current Employee, more than 1 year",3.0,4.1,,4.3,3.5,3.6,belgian,deloitte
2019-09-29,Manager in Brussels,5.0,3.0,4.0,,5.0,4.0,4.0,V,V,V,Not very predictable for life/work balance,Manager,Opportunity for career and flexibility,"Current Employee, more than 5 years",3.0,4.1,,4.4,3.6,3.6,belgian,deloitte
2019-10-25,Anonymous Employee in Zaventem,4.0,4.0,4.0,,4.0,4.0,4.0,V,V,V,"Some projects can be very redundant and consequently boring. 
Sometimes managers don’t listen to what your preferences are in terms of project",Good experience,"Very nice colleagues and company culture
Possible to maintain a good work life balance","Current Employee, more than 1 year",3.3,4.2,,4.3,3.7,3.8,belgian,deloitte
2019-11-02,Business Analyst in Brussels,5.0,,,,,,,O,O,O,highly demanding (not really a con),good to start,a good and experienced  talent pool,"Current Employee, more than 1 year",3.3333333333333335,4.111111111111111,,4.333333333333333,3.6666666666666665,3.6666666666666665,belgian,deloitte
2019-11-09,Junior Consultant in Zaventem,4.0,3.0,2.0,,5.0,4.0,3.0,V,-,V,Lack of flexibility in the hours but logical since it is a big 4.,Risk consultant,Good salary and starting package - iphone 10 - car: mini and fuel card at the start.,"Former Employee, less than 1 year",3.2222222222222223,3.7777777777777777,,4.333333333333333,3.6666666666666665,3.5555555555555554,belgian,deloitte
2019-11-17,Senior Consultant in Brussels,4.0,3.0,4.0,,5.0,4.0,4.0,-,V,V,Management focus is mainly on sales,"Broad skillset, ability to learn, focus on commercial","Opportunity to learn and grow as a consultant
Work with international client on major projects","Former Employee, more than 5 years",3.3333333333333335,3.888888888888889,,4.333333333333333,3.6666666666666665,3.6666666666666665,belgian,deloitte
2019-11-29,Consultant in Brussels,4.0,5.0,5.0,,4.0,3.0,4.0,V,-,V,"Performance evaluation system 
Diversity is low
Opaque promotion process",Great place to kickstart your career,"Colleagues
Corporate culture 
Perks 
Events 
Content of projects","Current Employee, more than 1 year",3.5555555555555554,4.0,,4.222222222222222,3.5555555555555554,3.6666666666666665,belgian,deloitte
2019-12-06,Senior Consultant in Brussels,3.0,4.0,3.0,,4.0,3.0,1.0,V,X,X,"- Not all missions should be sold (sometimes selling bad or useless stuff just to make money), leading to bore-out
- Quality is not the top priority of the management
- You can feel like a number",Senior Consultant,"- Great name on CV
- Various clients and industries","Former Employee, more than 3 years",3.6666666666666665,3.888888888888889,,4.111111111111111,3.5555555555555554,3.3333333333333335,belgian,deloitte
2019-12-09,Senior Consultant in Brussels,4.0,4.0,4.0,,5.0,4.0,4.0,O,O,O,The turn over is high.,Nice place to work,"Great team, Good benefits, Good work-life balance","Current Employee, less than 1 year",3.7777777777777777,3.7777777777777777,,4.555555555555555,3.6666666666666665,3.4444444444444446,belgian,deloitte
2020-01-16,Senior Tax Consultant in Brussels,4.0,2.0,4.0,,4.0,4.0,4.0,V,V,V,"long hours, repetitive work  and work life",Great place to work,"good advantages,  friendly people, great career path","Current Employee, more than 1 year",3.4444444444444446,3.6666666666666665,,4.444444444444445,3.6666666666666665,3.4444444444444446,belgian,deloitte
2020-02-28,Junior Consultant in Antwerp,2.0,2.0,2.0,,2.0,2.0,2.0,-,-,X,"below-market average salary, no work-life balance, company is only there for you regarding materialistic issues, gossip culture, corporate values are only there for marketing purposes,  limited mileage for company car (7500km/annually) while professional km remain unlimited",to avoid,"new company car with total fuel card , insurances, iphone xs, lenovo laptop + other gadgets to wow university graduates","Current Employee, more than 1 year",3.3333333333333335,3.5555555555555554,,4.222222222222222,3.5555555555555554,3.3333333333333335,belgian,deloitte
2020-03-02,Business Analyst in Zaventem,5.0,3.0,5.0,,5.0,3.0,5.0,O,O,O,"Long working Hours, Work-life Balance",Good Graduate Job,"Learning Opportunities
Package (low salary but Company Car & Phone)",Current Employee,3.3333333333333335,3.6666666666666665,,4.222222222222222,3.4444444444444446,3.4444444444444446,belgian,deloitte
2020-04-07,Data Scientist in Brussels,2.0,4.0,3.0,,3.0,2.0,3.0,-,-,X,"- No real DS ambitions or plan
- Scattered DS plans for the future, no integrated team
- Not enough merit-based structure",Fun environment,"-  Young colleagues
- Fun environment to work in
- Touches all business, so great variety of projects
- Internal moves possible","Current Employee, more than 3 years",3.3333333333333335,3.5555555555555554,,4.111111111111111,3.2222222222222223,3.3333333333333335,belgian,deloitte
2020-04-08,Consultante in Brussels,4.0,4.0,5.0,,5.0,3.0,4.0,V,O,V,"Location
Talent management
Focus on one field of expertise only",Great environment of work,"Flexibility
Balance work/ perso life
Challenging project
Team spirit",Current Employee,3.4,3.7,,4.2,3.2,3.4,belgian,deloitte
2020-04-18,Consultant in Zaventem,4.0,2.0,5.0,,4.0,3.0,4.0,O,O,O,"work-life balance, low salary compared to working hours",Good,"Lot of learning opportunity, good colleagues, nice company initiatives","Current Employee, more than 1 year",3.3,4.0,,4.1,3.1,3.5,belgian,deloitte
2020-04-29,Tax Manager in Brussels,5.0,3.0,5.0,,5.0,4.0,5.0,V,V,V,keeping the work life balance is not always easy,Awesome start of my career,"the firm invests hugely in its people (e.g. trainings, coaching etc...), true coaching mentality","Current Employee, more than 8 years",3.3,4.1,,4.1,3.1,3.6,belgian,deloitte
2020-05-14,Senior Consultant in Brussels,2.0,1.0,2.0,,5.0,3.0,1.0,X,-,X,"- quality does not matter that much, it's pure execution 
- Very very hierarchical,If someone is higher than you it mainly means they worked there longer/ not always means they know more than you 
- Unbelievable how they treat juniors and I am surprised that they go along with it
- Rude management
- Sometimes I don't believe the nonsense we are trying to sell to clients 
- Salaries are lower than norm in the market (all matters for people is the last year Bonus)
-They have a huge turnover, they don't care, they know young grads go there for the name anyway","No vision, Bad company culture, you are a number","all the wow factors for young graduates. iphone x, fancy car, ...
If you are lucky in the team you end up, you might get chance to work with big name clients, diverse industries","Current Employee, less than 1 year",2.9,3.8,,4.2,3.1,3.3,belgian,deloitte
2020-05-19,Communications in Brussels,4.0,3.0,5.0,,3.0,3.0,4.0,V,O,V,"Long working hours
Pay
Very high expectations from management",Great for gaining experience,"International projects
Opportunities for training and skill acquisition
Work/life balance initiatives",Current Employee,2.8,4.0,,4.1,3.1,3.6,belgian,deloitte
2020-05-26,Senior Tax Consultant in Brussels,4.0,3.0,5.0,,5.0,4.0,3.0,-,-,V,Can be a bit large,-n,"Is a dynamic, ecologically minded company",Current Employee,2.7,4.1,,4.1,3.1,3.5,belgian,deloitte
2020-06-13,Senior Consultant in Zaventem,4.0,3.0,4.0,,5.0,4.0,4.0,V,V,V,Not always easy to buikt out functional and industry expertise,Good,It boosts your growth journey,"Current Employee, more than 5 years",2.8,4.1,,4.2,3.1,3.5,belgian,deloitte
2020-06-19,Junior in Brussels,5.0,2.0,5.0,,5.0,5.0,5.0,V,O,V,lot of work / hard work,Deloitte is perfect place to work,"remote working possibility, nice building, good company policy","Current Employee, less than 1 year",2.8,4.4,,4.5,3.4,3.8,belgian,deloitte
2020-06-30,Intern in Brussels,3.0,3.0,4.0,,5.0,3.0,,O,O,V,"Salary, no extra's, long work hours",Quite good,Opportunity to work on different projects,"Current Employee, less than 1 year",2.8,4.3,,4.5,3.4,3.6666666666666665,belgian,deloitte
2020-07-16,Junior Consultant in Zaventem,3.0,2.0,5.0,,4.0,4.0,2.0,V,V,V,"- Some senior managers
- Some toxic people (but that's everywhere)","Nice building, feeling of freedom","- Location
- Feeling of freedom
- Fun activities (teambuilding)
- Team spirit
- Professionalism
- Knowledge and experience sharing sessions
- Some extra's and activities organized during the year","Former Employee, more than 1 year",2.6,4.5,,4.6,3.6,3.5555555555555554,belgian,deloitte
2020-07-18,Business Analyst II in Brussels,4.0,3.0,4.0,,5.0,4.0,3.0,V,V,V,"If you don't fit, they will show you the exit very quickly.",Good growth opportunity,"Linear evolution
You will get a promotion based on your work and the goals you set yourself at the beginning of the fiscal year.
If you meet those goals, you will get promoted. Really transparent structure.",Current Employee,2.5,4.4,,4.6,3.7,3.4444444444444446,belgian,deloitte
2020-07-25,Intern M&A in Brussels,4.0,4.0,5.0,,4.0,2.0,5.0,O,O,O,No compensation for interns in Belgium besides lunch and travel,Great first experience,"Responsibilities from the beginning
Helpful team","Former Intern, less than 1 year",2.7,4.4,,4.6,3.6,3.5555555555555554,belgian,deloitte
2020-08-21,Junior Consultant in Brussels,4.0,4.0,4.0,,5.0,4.0,4.0,V,V,V,Sometimes repetitive tasks and too little contact with superiors,Nice environment,Very nice and professional environment,"Current Employee, more than 1 year",2.8,4.3,,4.6,3.6,3.4444444444444446,belgian,deloitte
2020-08-24,Consultant in Brussels,5.0,4.0,5.0,,5.0,4.0,4.0,V,V,V,60h-70h work weeks are not unusual,Good learning opportunities,Great to start career. Multiple international opportunities and great team,Current Employee,3.1,4.6,,4.6,3.7,3.7777777777777777,belgian,deloitte
2020-08-25,Senior Consultant in Brussels,4.0,2.0,4.0,,5.0,4.0,3.0,O,O,O,"Work life balance can be difficult to balance, and pay does not compensate accordingly",Good exposure for starters,"Good range of projects and experience, steady progression","Current Employee, more than 1 year",3.0,4.5,,4.8,3.8,3.6666666666666665,belgian,deloitte
2020-09-08,Consultant in Brussels,3.0,3.0,3.0,,4.0,4.0,2.0,V,O,V,Lots of politics; Lack of ownership in lower levels,Consultant,Steady learning curve; Good Networking; Lots of fun projects,"Current Employee, more than 1 year",3.0,4.3,,4.7,3.8,3.5555555555555554,belgian,deloitte
2020-09-08,Senior Business Analyst in Zaventem,4.0,4.0,5.0,,4.0,4.0,4.0,V,-,V,"- Cash isn't much, but fringe benefits covers a part of this 
- Transparency top-down and at recruitment. Deloitte Digital is about implementation of Digital Tools (ERP/CRM). Be aware this is mainly manual work. 
- Repetitive tasks (especially as a junior, be prepared to master PPT and Excel) => Probably same in all big4's. 
- As of consultant level any overtime you do is for free (very very rarely you can get them back as vacation hours). 
- No admin rights on pc (good for security, bad for work): any installation requires pre-approval and extensive red-tape",Deloitte Digital is a nice play to work.,"+ Flexibility
+ Career opportunities
+ One stop shop where internal moves are possible
+ Fringe benefits (car, phone, gas, PC with no admin rights, insurance)
+ MyBenefitsMyChoice: possiblity to convert a part of your 13th month in other advantages that are fiscally attractive. For example, extra vacation days (up to 5), Hardware, extra insurance, Pension fund, etc). 
+ Mobility package is on point (choice goes from full car up to No car with train, metro bike etc).
+ Great Covid reaction with accent on well-being of employees","Current Employee, more than 1 year",3.1,4.4,,4.6,3.8,3.5555555555555554,belgian,deloitte
2020-09-10,Audit in Brussels,3.0,5.0,3.0,,1.0,1.0,1.0,-,-,X,boring work and very repetitive jobs,review deloitte audit,"friendly people, amaical and good atmothspere","Former Intern, less than 1 year",3.4,4.2,,4.2,3.4,3.111111111111111,belgian,deloitte
2020-09-15,Cyber Security Consultant in Brussels,5.0,3.0,5.0,,5.0,3.0,4.0,V,O,V,"- Long working hours
- Pay below industry average",Great place to work with minor downsides,"+ Flexibility
+ Interesting projects
+ Challenging
+ Good team spirit","Current Employee, more than 1 year",3.4,4.3,,4.2,3.4,3.2,belgian,deloitte
2020-09-30,Auditor in Brussels,4.0,4.0,4.0,3.0,3.0,5.0,3.0,-,V,V,"Long and irregular hours, also in the weekends",Good job,I like the positive atmosphere,"Current Employee, more than 1 year",3.6,4.2,3.0,4.1,3.5,3.3,belgian,deloitte
2020-09-30,Senior Manager in Brussels,4.0,3.0,4.0,,4.0,3.0,4.0,V,O,V,Flexibility works in 2 ways,review,"Learning, talent, entrepreneurship, benefits, trust",Current Employee,3.6,4.2,3.0,4.0,3.4,3.4,belgian,deloitte
2020-10-09,Senior Auditor II in Brussels,4.0,2.0,4.0,5.0,5.0,3.0,4.0,V,V,V,"- Work tends to focus a lot on compliance.
- Remuneration is low to start off (even though it grows each year).
- Politics/luck of being in the righ teams has a strong influence on salary increase.",Great place to kick start you career,"- Structured place to start you career with many training possibilities.
- Quickly able to receive a lot of responsibilities.
- Young & dynamic environment.
- Great office spaces.","Current Employee, more than 3 years",3.4,4.1,4.0,4.1,3.5,3.3,belgian,deloitte
